z,block,quantity,obs,model,residual,rd_used_Mpc
0.295,galaxy_quasar,DV_over_rs,7.94167639,8.225943247773637,0.2842668577736376,143.3
0.51,galaxy_quasar,DM_over_rs,13.58758434,13.757734083805785,0.1701497438057853,143.3
0.51,galaxy_quasar,DH_over_rs,21.86294686,23.115654207102565,1.2527073471025645,143.3
0.706,galaxy_quasar,DM_over_rs,17.35069094,17.994193050566764,0.6435021105667644,143.3
0.706,galaxy_quasar,DH_over_rs,19.45534918,20.43117929334472,0.9758301133447205,143.3
0.934,galaxy_quasar,DM_over_rs,21.57563956,22.2931786884889,0.7175391284889017,143.3
0.934,galaxy_quasar,DH_over_rs,17.64149464,17.727631820490153,0.08613718049015162,143.3
1.321,galaxy_quasar,DM_over_rs,27.60085612,28.3226085546398,0.7217524346398001,143.3
1.321,galaxy_quasar,DH_over_rs,14.17602155,14.110722059594163,-0.06529949040583638,143.3
1.484,galaxy_quasar,DM_over_rs,30.51190063,30.4755572058744,-0.036343424125600876,143.3
1.484,galaxy_quasar,DH_over_rs,12.81699964,12.895706001020521,0.07870636102052053,143.3
2.33,lya,DH_over_rs,8.631545674846294,8.56016919952845,-0.07137647531784275,143.3
2.33,lya,DM_over_rs,38.988973961958784,39.09605500246036,0.1070810405015763,143.3
