z,block,quantity,obs,model,residual,rd_used_Mpc
0.295,galaxy_quasar,DV_over_rs,7.94167639,8.014299107164776,0.07262271716477642,147.0843116339564
0.51,galaxy_quasar,DM_over_rs,13.58758434,13.403763272290595,-0.18382106770940432,147.0843116339564
0.51,galaxy_quasar,DH_over_rs,21.86294686,22.52091478064251,0.6579679206425091,147.0843116339564
0.706,galaxy_quasar,DM_over_rs,17.35069094,17.531222980214295,0.18053204021429536,147.0843116339564
0.706,galaxy_quasar,DH_over_rs,19.45534918,19.905508345598292,0.4501591655982935,147.0843116339564
0.934,galaxy_quasar,DM_over_rs,21.57563956,21.719600619342604,0.1439610593426046,147.0843116339564
0.934,galaxy_quasar,DH_over_rs,17.64149464,17.27152006665652,-0.3699745733434803,147.0843116339564
1.321,galaxy_quasar,DM_over_rs,27.60085612,27.593900129746363,-0.006955990253636912,147.0843116339564
1.321,galaxy_quasar,DH_over_rs,14.17602155,13.747669269936077,-0.42835228006392256,147.0843116339564
1.484,galaxy_quasar,DM_over_rs,30.51190063,29.691455866959963,-0.8204447630400367,147.0843116339564
1.484,galaxy_quasar,DH_over_rs,12.81699964,12.563914189197698,-0.2530854508023026,147.0843116339564
2.33,lya,DH_over_rs,8.631545674846294,8.588803692005824,-0.04274198284046982,142.82224746086274
2.33,lya,DM_over_rs,38.988973961958784,39.226834624541254,0.23786066258247018,142.82224746086274
