branch,z,source,H_obs,sigma,H_model,residual,pull
io_iid,0.07,Zhang et al. (2014),69.0,19.6,69.96212502489905,0.962125024899052,0.049088011474441424
io_iid,0.09,"Simon, Verde & Jimenez (2005)",69.0,12.0,70.6905808080564,1.6905808080563958,0.14088173400469964
io_iid,0.12,Zhang et al. (2014),68.6,26.2,71.82181726654173,3.221817266541734,0.12297012467716543
io_iid,0.17,Simon et al. (2005),83.0,8.0,73.80903412499896,-9.19096587500104,-1.14887073437513
io_iid,0.179,Moresco et al. (2012),75.0,4.0,74.18011793139881,-0.8198820686011885,-0.20497051715029713
io_iid,0.199,Moresco et al. (2012),75.0,5.0,75.01922660443033,0.01922660443032953,0.003845320886065906
io_iid,0.2,Zhang et al. (2014),72.9,29.6,75.06170416529469,2.1617041652946796,0.07303054612482025
io_iid,0.27,Simon et al. (2005),77.0,14.0,78.15711745833109,1.1571174583310864,0.08265124702364902
io_iid,0.28,Zhang et al. (2014),88.8,36.6,78.61871514480029,-10.181284855199706,-0.27817718183605755
io_iid,0.352,Moresco et al. (2012),83.0,14.0,82.08183728207602,-0.9181627179239769,-0.06558305128028406
io_iid,0.3802,Moresco et al. (2016),83.0,13.5,83.50376176707347,0.5037617670734704,0.0373156864498867
io_iid,0.4,Simon et al. (2005),95.0,17.0,84.52369413838952,-10.476305861610484,-0.6162532859770873
io_iid,0.4004,Moresco et al. (2016),77.0,10.2,84.5444804454716,7.544480445471606,0.7396549456344713
io_iid,0.4247,Moresco et al. (2016),87.1,11.2,85.82062380625487,-1.2793761937451222,-0.11423001729867163
io_iid,0.4497,Moresco et al. (2016),92.8,12.9,87.16072766432508,-5.639272335674917,-0.4371528942383657
io_iid,0.47,Ratsimbazafy et al. (2017),89.0,50.0,88.26890716573993,-0.7310928342600675,-0.014621856685201351
io_iid,0.4783,Moresco et al. (2016),80.9,9.0,88.72711642174845,7.827116421748443,0.8696796024164937
io_iid,0.48,Ratsimbazafy et al. (2017),97.0,62.0,88.82133030998472,-8.178669690015283,-0.13191402725831103
io_iid,0.593,Moresco et al. (2012),104.0,13.0,95.35425985816156,-8.645740141838445,-0.6650569339875727
io_iid,0.68,Moresco et al. (2012),92.0,8.0,100.73226520453329,8.732265204533292,1.0915331505666614
io_iid,0.75,Borghi et al. (2022),98.8,33.6,105.26720349925277,6.467203499252776,0.19247629462061833
io_iid,0.75,Jimenez et al. (2023),105.0,7.9,105.26720349925277,0.26720349925277276,0.03382322775351554
io_iid,0.781,Moresco et al. (2012),105.0,12.0,107.33245010310961,2.3324501031096077,0.19437084192580065
io_iid,0.8,Jiao et al. (2023),113.1,15.1,108.6150913549736,-4.484908645026394,-0.2970138175514168
io_iid,0.875,Moresco et al. (2012),125.0,17.0,113.80001392601856,-11.199986073981435,-0.658822710234202
io_iid,0.88,Ratsimbazafy et al. (2017),90.0,40.0,114.15245282297961,24.152452822979612,0.6038113205744903
io_iid,0.9,Simon et al. (2005),117.0,23.0,115.57051220409221,-1.4294877959077894,-0.06215164330033867
io_iid,1.037,Moresco et al. (2012),154.0,20.0,125.63040856172215,-28.36959143827785,-1.4184795719138925
io_iid,1.26,Tomasetti et al. (2023b),135.0,65.0,143.21013088195255,8.210130881952551,0.12630970587619308
io_iid,1.3,Simon et al. (2005),168.0,17.0,146.51059724136496,-21.489402758635038,-1.2640825152138258
