ell,Dl_TT_io_backbone_control,Dl_TE_io_backbone_control,Dl_EE_io_backbone_control,Dl_TT_io_conditional_structured,Dl_TE_io_conditional_structured,Dl_EE_io_conditional_structured,Dl_TT_lcdm_planck_reference,Dl_TE_lcdm_planck_reference,Dl_EE_lcdm_planck_reference
2,941.4280755537526,0.026945955164937384,2.353449202413226e-06,943.6235983015943,0.026603603727235508,2.3998365696458117e-06,1025.427778283104,2.6399851852722263,0.03119878850649183
3,912.904886372241,0.06050588753443157,7.945439872048017e-06,915.0842259979473,0.059846657157366895,7.95315173309001e-06,970.5518470116848,2.959584727454222,0.04003988490669245
4,884.4756585805696,0.10278585036489535,2.0050765571070232e-05,886.5625079983063,0.10182647436751165,1.9907507558251258e-05,918.6254024097625,2.7669548228460057,0.03472080470616963
5,864.3758831037464,0.15300589865731484,4.228568706803578e-05,866.3331906138252,0.15180223297015516,4.1824976493492665e-05,879.6773920703714,2.3566584224709097,0.023227944627873996
6,851.8847387602767,0.2104667995899831,7.8929860526083e-05,853.6922047285544,0.20910593175669265,7.793561291096339e-05,852.8842474579753,1.898493385285964,0.013019462265530132
7,845.2077945600332,0.27447820159109404,0.0001348755982079512,846.8466644006112,0.2730687190714826,0.0001330890298893348,835.7805922873448,1.4908867270519048,0.007039563194297273
8,842.9266077008537,0.3443803023608665,0.00021556288213295092,844.3758868162732,0.3430602937939039,0.0002127048774656428,825.7090130143001,1.1770420521668434,0.0045371672820514845
9,844.1385843964409,0.4194270736555393,0.000326890423348855,845.3858848259647,0.4183671885564715,0.0003226806849279532,820.944173728835,0.966434603069736,0.003645198840455062
10,847.9308486632456,0.4989347623499997,0.0004752266224267322,848.9708162703536,0.4983170631339146,0.00046938282723266075,820.0802418980234,0.8491784652133366,0.003116895826780442
11,853.8700312692398,0.5821994070844996,0.0006673768546190159,854.6901794909526,0.5822081187303731,0.0006596160541342816,822.2370591689345,0.8058172179385149,0.0026281872063743526
12,861.2872869595094,0.6686052292007822,0.0009106595301373118,861.8688480021283,0.6694259164530852,0.0009007259353665521,827.0067323864315,0.8138595274477974,0.00229355058466345
13,870.3404769816167,0.7575664570600534,0.0012126148982604234,870.6598536819375,0.7594011655953643,0.0012003057586625861,833.4868385243063,0.8528059865201565,0.002200077162003102
14,880.4970678904662,0.8482298825123548,0.0015812665629659094,880.5323867559144,0.8512838762420537,0.001566456011804947,841.1009357532754,0.9075462023892087,0.002291376487919354
15,891.6856639092141,0.9402500879421639,0.002024699364193804,891.4194066746367,0.9447451491009198,0.0020073650006047308,850.0408751807969,0.968692597029067,0.0024780113795538237
16,903.778159368616,1.032479485909635,0.002551336960776869,903.1895442589704,1.0386363373626157,0.002531554531892519,860.369777967231,1.030714691404119,0.002738590732035859
17,916.2643602797608,1.1249149443112632,0.0031700129637766764,915.3440413234647,1.1329564368568368,0.003148019146481498,871.1132124187293,1.0926931407457727,0.003112985265934245
18,929.5671984838012,1.2164466171696395,0.003889317071244666,928.2975466809569,1.2266026563505454,0.0038654823120764332,882.6229603838615,1.1559489440347293,0.0036424124034980707
19,943.8029697457113,1.3063715259088062,0.004718155486262045,942.166084886993,1.318873860865415,0.004693024205497968,895.0146649521884,1.221968021847099,0.004330864382433401
20,958.4660214915796,1.394294338784283,0.005665649979506376,956.4474792996405,1.4093740290493293,0.005639975854978176,907.771423690777,1.2919882658416733,0.005164963515921845
21,973.5981070637607,1.4796960541170927,0.006740995108886046,971.1833994829057,1.4975824310277688,0.006715754256398748,920.9966595271981,1.365910296110172,0.006139093234244764
22,989.1758449330559,1.5620067254751817,0.007953474058429368,986.3486585476787,1.5829258629228335,0.007929883235266838,934.7479828677594,1.4425877498517334,0.007248062958698815
23,1005.1776144709968,1.6405602499049772,0.009312581364146895,1001.9225566124666,1.6647308420170774,0.009292112569888135,948.950871208204,1.5194770581512813,0.008493771111749383
24,1021.4337992991593,1.714656407958409,0.010827774111120821,1017.7366699273493,1.7422893995864135,0.010812173080976883,963.3520872075352,1.5932497811065225,0.009878945102905042
25,1038.0016947924487,1.7836570751665786,0.012507870647466836,1033.8480912228772,1.8149644981878537,0.012499177657539218,978.0363212919513,1.6616365482435325,0.011404284919826257
26,1054.8929698314648,1.8469731634567843,0.014361531869029082,1050.2679953844324,1.8821692294974661,0.014362105313339101,993.0870228729043,1.7227665151536011,0.013071028037646825
27,1072.1129655137843,1.9041564840977634,0.016398228204632864,1067.004387504476,1.943443873000545,0.016410778566680304,1008.5609204004992,1.7760480502801548,0.014891001192927203
28,1089.589394060758,1.9548083192889905,0.01862756604111974,1083.98785833528,1.9983741874003098,0.018655179860574078,1024.370185663843,1.8214390500635338,0.016881112698774067
29,1107.352835537032,1.9984368689308583,0.021058486873907965,1101.2476641766154,2.0464605784395067,0.02110463130938528,1040.3226779424406,1.859154811318228,0.01905861779632344
30,1125.3671529089827,2.0345270950925647,0.02369956785953904,1118.7440955062768,2.0871830696885323,0.023768105505433085,1056.4714416669954,1.8897029192470332,0.02143233359254065
31,1143.525698864837,2.0625768294182194,0.026559169765646873,1136.366628580297,2.1200344324604607,0.02665437774688454,1072.8771955868638,1.913902070656122,0.024007900789692872
32,1161.905681283172,2.0821222557233443,0.02964555593629948,1154.192427780135,2.1445420952104954,0.029772145107521467,1089.5327415384054,1.9324794027338024,0.026790419181916755
33,1180.5904390208873,2.09272230672107,0.032966766693994835,1172.3059907702736,2.1602549484979,0.03312990071936385,1106.4547305778044,1.9446075876175113,0.02978619941784061
34,1199.6011529896116,2.093947262998938,0.03653064281729088,1190.7297785388362,2.166732693795098,0.036735958683328504,1123.6081709553823,1.9488114014946567,0.033001558667450914
35,1218.920067140502,2.0853607269010173,0.04034511608815137,1209.4473824074023,2.1635269459302178,0.04059874979230845,1140.9149387462815,1.9435909037118233,0.036442589646027
36,1238.4608015567542,2.0665313159578362,0.044417981790278206,1228.3738754706033,2.150193591250872,0.04472659079929022,1158.3987666300354,1.9283389315064983,0.04011608541171325
37,1258.1057450639194,2.0370379629118074,0.04875673551116685,1247.392936826557,2.1262989775988017,0.04912751203489257,1176.078778888705,1.902730698867675,0.04402889055343323
38,1277.8841058246337,1.9964723076961959,0.05336834596693461,1266.5339269753365,2.0914243975879043,0.053809002988129594,1193.924023675149,1.8664840300182968,0.04818763410260554
39,1297.843405259269,1.9444369178334502,0.058259366291445853,1285.8440107265974,2.0451630521366697,0.05877814129138985,1211.881892357346,1.8193881921144988,0.05259841084029042
40,1317.996779572079,1.8805445404128922,0.06343596162747822,1305.3356910183863,1.9871188735390009,0.06404162689438021,1229.9884978135938,1.7613960241580613,0.05726573665147379
41,1338.3375018129293,1.8044319042560826,0.06890386954504299,1325.0014164267225,1.9169184193990194,0.06960580131435093,1248.286667169079,1.69256748814882,0.06219320793785234
42,1358.8976925570819,1.715806715469762,0.07466832850927893,1344.872635853003,1.8342511517792623,0.0754767769002409,1266.7923251896168,1.6130505919374292,0.06738373240951386
43,1379.702098720822,1.6144158307999992,0.0807340822189655,1364.9733073620284,1.738842311811522,0.08166030485385484,1285.5039071877625,1.5229806141259916,0.07284013771697279
44,1400.748668973456,1.5000335599210766,0.08710536456985027,1385.300360410654,1.6304430074983132,0.08816170996502092,1304.4411434128629,1.4221293893649687,0.07856732028412806
45,1422.018543169089,1.372472614773575,0.09378613772011155,1405.834003344322,1.508843851719334,0.09498608040608404,1323.613359732996,1.3101543818702492,0.08457069807082654
46,1443.51587759144,1.231618771019951,0.10078095487654061,1426.5786516994642,1.373918732412351,0.10213896011502743,1343.0060242387478,1.1866924934288152,0.09085562012690807
47,1465.235381376824,1.0774080777043584,0.10809430945263081,1447.529665734651,1.2255955758819168,0.10962582346283146,1362.57856338695,1.051357972117951,0.09742736710569534
48,1487.1487970875041,0.9098191228426945,0.11573038089101202,1468.6595305406906,1.063846242432137,0.11745186903781271,1382.2833561709333,0.9037767594966866,0.1042904628473762
49,1509.2029582658124,0.7288744998588945,0.12369302289187391,1489.915917726771,0.8886881139752318,0.125622008445895,1402.134143685978,0.7437058608991087,0.11144637845880084
50,1531.3435625974057,0.5345473421868057,0.13198530898961278,1511.245442961946,0.7000866126550591,0.13414022254163332,1422.1531512725132,0.5709440311099269,0.118895181924126
51,1553.5986052877015,0.32644761601620703,0.14060805117735645,1532.6770379010597,0.4976278794253429,0.14300745009858445,1442.3505179548595,0.38529804730124584,0.12663613674554977
52,1576.014235095567,0.10405321008388876,0.14956085883192036,1554.2578581313367,0.28075999205029123,0.15222310668295705,1462.7231930965274,0.18658247685750576,0.13466766730730592
53,1598.63030316604,-0.13320550461381162,0.15884251439272679,1576.0288534274716,0.04888126721300722,0.16178562713802372,1483.2634513093606,-0.02537258148301024,0.14298813182728734
54,1621.479630730767,-0.3859486757651566,0.1684509407595567,1598.0240386544892,-0.19866281394582827,0.17169242461642775,1503.9895474941873,-0.2506954028145571,0.15159845428396485
55,1644.587036903341,-0.6547053179877729,0.17838377260067076,1620.269133639546,-0.4624336016287749,0.18194066269785225,1524.9210215527082,-0.4894924254305818,0.16050010890506652
56,1667.9678168738733,-0.9394402748893617,0.18864031116468716,1642.7787574089455,-0.7424117475238404,0.19252989021133823,1546.0690858119226,-0.7418555369601966,0.16969437106201427
57,1691.6276029850894,-1.2399150006170212,0.1992199979805415,1665.5572598684594,-1.0383690069397342,0.20345998920126254,1567.435924960507,-1.0078619722322752,0.1791823164950346
58,1715.561846010616,-1.555819339275981,0.2101218446181496,1688.5985544877337,-1.3500040319967637,0.21473041010248053,1589.013995985195,-1.287574211139547,0.18896482053827002
59,1739.7550735084671,-1.886768890054297,0.2213444236151343,1711.8853646175196,-1.6769396378286563,0.22634016245128305,1610.7922778907403,-1.5810136124804384,0.19904180906962837
60,1764.180148174528,-2.2323023723475406,0.23288585940355236,1735.3884698069032,-2.0187200687843743,0.23828780559635368,1632.7783056741248,-1.888074397309694,0.20940980998800401
61,1788.81028034885,-2.5919851425645404,0.24474349240344634,1759.0793024366099,-2.3749164132485916,0.25057106558069486,1654.9800251262102,-2.2085894739498584,0.22006383073612207
62,1813.6598941791176,-2.9657528573590843,0.25691280372331127,1782.9727467066807,-2.745476682550257,0.2631856063119767,1677.3988379628915,-2.542353973475399,0.23099803097338498
63,1838.7516599867638,-3.3536406247239294,0.26938823189798566,1807.0926526373853,-3.1304498174605984,0.27612596482934204,1700.0291373473583,-2.889124257270959,0.24220569643572049
64,1864.104219251175,-3.7556843779073557,0.28216345936520926,1831.4590099166046,-3.5298851573891823,0.2893858800617685,1722.8578434123597,-3.2486169245896193,0.2536792127954295
65,1889.731847642801,-4.171921608650427,0.29523139302217977,1856.0876178125015,-3.943833138059619,0.30295827167771266,1745.8715784571336,-3.6205693001922814,0.26541089139066215
66,1915.6441180562642,-4.602392100424248,0.308584144782111,1880.9897550861845,-4.372345989185269,0.3168352189347549,1769.0810020289696,-4.004938015707748,0.27739570838513466
67,1941.845563643468,-5.047138661667228,0.3222130121307903,1906.171849904372,-4.815478432144948,0.33100793952924434,1792.5008145219922,-4.4017408345499955,0.2896291007011522
68,1968.3356279335399,-5.506166466353494,0.336109441866952,1931.6350408948708,-5.273247289717026,0.3454678039170817,1816.1423261709153,-4.810999596521322,0.302106163069671
69,1995.1092566762911,-5.979309869772134,0.35026819154765526,1957.3744948742199,-5.745499252179366,0.3602096642170512,1840.0132062705009,-5.232740945093152,0.31482164571866655
70,2022.1558211311137,-6.466339799344664,0.3646847766492001,1983.3793572555446,-6.232017447366515,0.37522916493470276,1864.1172323950143,-5.666997054686848,0.32776995206150333
71,2049.458517875972,-6.967002439964013,0.3793545496623084,2009.632521770171,-6.732559811048909,0.3905217724094301,1888.4540396176812,-6.113806357954506,0.34094513638530316
72,2076.994039182883,-7.481018908595751,0.39427270579404716,2036.1102975962262,-7.24685873376608,0.4060827801467535,1913.0219810814694,-6.573158348062659,0.3543406168019897
73,2104.7322433934014,-8.008084928879333,0.40943428866975234,2062.7820764872317,-7.774620707659871,0.42190731415060145,1937.8279026839207,-7.044814103204593,0.3679482554497191
74,2132.6358252941013,-8.547870505729303,0.4248341960349525,2089.609999900693,-8.315525973307635,0.4379903382555946,1962.8788001785324,-7.528452465690621,0.38175909673666036
75,2160.6735627183375,-9.100044270581405,0.4404660140755526,2116.5623880144317,-8.869252175429583,0.4543254426350371,1988.1786973793926,-8.023722374296625,0.39576362777213925
76,2188.8636118621544,-9.664352430999308,0.4563182590797684,2143.657628387752,-9.43555115823755,0.4709009390711506,2013.7284664160536,-8.530242314718432,0.40995176955415596
77,2217.2376460556393,-10.24055387743721,0.4723774488721186,2170.9278255740433,-10.014185776411283,0.4877030509513471,2039.5256479884063,-9.04759977002621,0.4243128681569018
78,2245.827945502052,-10.828396996376833,0.48862919399575966,2198.4057155667374,-10.604907293708314,0.5047170461910191,2065.564271621557,-9.575350671118859,0.4388356859182751
