case,spectrum,bin_center_ell,planck_data_bin,model_bin,model_minus_planck,sigma,io_minus_planck_sigma
io_backbone_control,TT,8.5,53.439462664156274,56.41427609733505,2.974813433178774,4.922908075728335,0.6042797036665479
io_backbone_control,TT,22.5,9.695704299702811,11.531427005095642,1.835722705392831,0.5879677993874476,3.1221483681679683
io_backbone_control,TT,32.0,6.52720153168964,6.901990127408266,0.3747885957186261,0.693104790494845,0.5407387178077997
io_backbone_control,TT,37.0,5.27440732568789,5.614895476356146,0.3404881506682562,0.518730809837716,0.6563869818620901
io_backbone_control,TT,42.0,4.96452185057974,4.723289154259239,-0.24123269632050182,0.408305720465375,-0.5908139029880645
io_backbone_control,TT,47.0,3.80071189548254,4.077738043750592,0.27702614826805183,0.332152658297444,0.8340326092467212
io_backbone_control,TT,52.0,3.03002092367268,3.590877462855419,0.5608565391827391,0.276616171698414,2.027562364626402
io_backbone_control,TT,57.0,3.05454143187475,3.213579334168445,0.15903790229369497,0.235492928839404,0.675340457471451
io_backbone_control,TT,62.0,2.67576423835134,2.9163453485878335,0.24058111023649342,0.203725474637562,1.18090833100033
io_backbone_control,TT,67.0,2.53534546281385,2.6772231915343476,0.14187772872049775,0.179013596476095,0.7925528089116054
io_backbone_control,TT,72.0,2.36007053349042,2.48219911037405,0.12212857688362977,0.159842644243857,0.7640550333821405
io_backbone_control,TT,77.0,1.84715703912854,2.319020396546092,0.47186335741755214,0.143899048206657,3.2791277169526336
io_backbone_control,TT,82.0,2.00149645229173,2.1812004973086334,0.17970404501690362,0.131269737812725,1.3689678063749702
io_backbone_control,TT,87.0,1.91301848520494,2.065830149069641,0.15281166386470124,0.120612131683205,1.2669676070900582
io_backbone_control,TT,92.0,1.79672203114152,1.9676394786652975,0.17091744752377758,0.11137694571596,1.5345855143097678
io_backbone_control,TT,97.0,1.64215284436131,1.8817901182315364,0.23963727387022637,0.10340723193791,2.317413099444675
io_backbone_control,TT,104.0,1.6980448186295,1.7774287758097724,0.07938395718027236,0.06839505588337068,1.1606680651835461
io_backbone_control,TT,113.0,1.57150912603235,1.6659062690518105,0.09439714301946056,0.06136227908463462,1.5383578385226244
